Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,ambient_temp,load_density,humidity,shift_encoded,temp_load_stress,humidity_wear,night_load
0,298.8,309.1,1477,42.4,158,0,24.64,0.617,62.89,2,15.203,9936.62,0
0,298.8,309.1,1513,40.3,160,0,26.76,0.398,66.09,0,10.65,10574.4,0
1,298.8,309.0,1661,29.5,162,0,29.33,0.722,67.41,1,21.176,10920.42,0
0,298.8,309.1,1378,54.4,165,0,31.9,0.434,33.71,2,13.845,5562.15,0
0,298.8,309.1,1393,52.6,167,0,26.08,0.671,59.5,0,17.5,9936.5,0
1,298.8,309.0,1592,38.2,169,0,27.26,0.686,49.7,1,18.7,8399.3,0
0,298.8,309.0,1829,22.9,172,0,23.57,0.783,47.53,2,18.455,8175.16,1
1,298.9,309.0,1812,25.9,174,0,23.22,0.917,60.6,0,21.293,10544.4,0
0,299.0,309.1,1523,38.6,177,0,31.25,0.445,37.7,1,13.906,6672.9,0
0,299.0,309.1,1394,45.1,179,0,33.42,0.642,37.49,2,21.456,6710.71,0
1,298.9,308.9,1679,28.7,181,0,27.71,0.609,61.34,0,16.875,11102.54,0
2,298.8,308.9,1466,44.1,184,0,32.01,0.715,59.88,1,22.887,11017.92,0
0,298.8,308.9,1527,32.4,189,0,29.45,0.682,56.37,2,20.085,10653.93,0
0,298.9,309.0,1410,65.7,191,1,25.42,0.597,46.2,0,15.176,8824.2,0
1,298.9,309.0,1924,22.6,193,0,29.45,0.584,62.44,1,17.199,12050.92,0
0,298.9,309.1,1452,45.5,196,0,34.15,0.483,61.8,2,16.494,12112.8,0
0,298.9,309.1,1369,44.4,198,0,27.86,0.798,55.85,0,22.232,11058.3,0
0,299.0,309.1,1592,35.0,200,0,34.26,0.719,43.23,1,24.633,8646.0,0
0,298.9,309.0,1601,32.3,202,0,17.52,0.788,50.75,2,13.806,10251.5,1
0,298.8,308.9,1379,46.7,204,0,31.29,0.603,63.38,0,18.868,12929.52,0
0,298.8,308.9,1461,47.9,206,0,28.35,0.551,68.27,1,15.621,14063.62,0
0,298.8,308.9,1455,41.3,208,1,26.8,0.488,51.73,2,13.078,10759.84,0
0,298.8,308.9,1398,51.5,0,0,28.37,0.704,52.5,0,19.972,0.0,0
0,298.8,308.9,1402,37.9,2,0,20.05,0.494,53.38,1,9.905,106.76,0
2,298.8,308.8,1445,49.9,4,0,27.12,0.927,57.75,2,25.14,231.0,1
0,298.9,308.9,1450,47.5,9,0,29.43,0.454,49.19,0,13.361,442.71,0
0,298.9,308.9,1453,40.8,11,0,33.91,0.691,26.06,1,23.432,286.66,0
0,299.0,309.0,1469,40.1,13,0,25.93,0.885,66.93,2,22.948,870.09,1
0,298.9,308.9,1422,47.6,15,0,24.77,0.74,72.95,0,18.33,1094.25,0
1,299.0,309.0,1804,26.8,17,0,25.99,0.676,48.88,1,17.569,830.96,0
2,299.0,309.0,1436,43.9,20,0,31.66,0.505,44.33,2,15.988,886.6,0
0,299.0,309.0,1544,31.8,25,0,29.32,0.443,53.63,0,12.989,1340.75,0
1,299.0,309.0,1419,45.2,27,0,25.88,0.766,53.12,1,19.824,1434.24,0
1,298.9,308.9,1487,39.5,30,0,30.05,0.876,64.96,2,26.324,1948.8,1
0,298.9,308.9,1753,25.8,33,0,28.39,0.584,55.55,0,16.58,1833.15,0
0,298.9,308.9,1830,24.9,35,0,31.87,0.479,47.07,1,15.266,1647.45,0
1,298.9,308.9,1727,27.1,37,0,25.19,0.281,41.82,2,7.078,1547.34,0
0,299.1,309.0,1450,43.0,40,0,26.69,0.503,63.66,0,13.425,2546.4,0
0,299.0,308.9,1622,31.9,42,0,26.43,0.633,61.0,1,16.73,2562.0,0
1,299.0,309.0,1351,52.2,44,0,22.15,0.89,65.61,2,19.714,2886.84,1
1,299.0,309.0,1575,35.3,47,0,29.18,0.751,45.32,0,21.914,2130.04,0
1,298.9,308.9,1750,29.9,50,0,29.04,0.696,73.38,1,20.212,3669.0,0
0,298.9,308.8,1529,32.7,53,0,28.02,0.59,37.56,2,16.532,1990.68,0
0,298.8,308.8,1523,44.4,55,0,27.06,0.563,62.1,0,15.235,3415.5,0
0,298.8,308.9,1852,25.0,57,0,22.34,0.861,35.9,1,19.235,2046.3,0
0,298.8,308.8,1991,20.7,59,0,26.32,0.68,47.1,2,17.898,2778.9,0
0,298.8,308.8,1555,40.6,61,0,26.63,0.335,70.61,0,8.921,4307.21,0
1,298.8,308.8,1441,40.5,63,0,24.79,0.549,63.31,1,13.61,3988.53,0
0,298.8,308.7,1450,43.4,66,0,27.35,0.521,49.54,2,14.249,3269.64,0
0,298.8,308.7,1591,31.1,68,0,29.62,0.568,49.81,0,16.824,3387.08,0
0,298.8,308.7,1445,48.5,70,0,35.54,0.734,56.01,1,26.086,3920.7,0
1,298.8,308.8,1497,46.8,72,0,28.7,0.634,60.14,2,18.196,4330.08,0
2,298.9,308.8,1621,32.7,75,0,29.03,0.638,67.52,0,18.521,5064.0,0
0,298.9,308.7,1572,34.1,80,0,27.7,0.847,50.44,1,23.462,4035.2,0
0,298.8,308.6,1872,22.5,82,0,20.32,0.546,38.88,2,11.095,3188.16,0
2,298.7,308.6,1499,43.5,84,0,27.89,0.93,56.57,0,25.938,4751.88,0
1,298.8,308.7,1498,39.5,89,0,28.24,0.549,50.43,1,15.504,4488.27,0
1,298.8,308.6,1486,41.9,92,0,37.85,0.663,41.99,2,25.095,3863.08,0
0,298.8,308.6,1680,29.4,95,0,27.23,0.608,57.98,0,16.556,5508.1,0
0,298.8,308.6,1431,45.7,97,0,29.21,0.669,52.87,1,19.541,5128.39,0
0,298.9,308.7,1564,34.1,99,0,27.86,0.717,58.07,2,19.976,5748.93,1
0,298.8,308.6,1599,33.0,101,0,23.33,0.715,46.06,0,16.681,4652.06,0
1,298.8,308.6,1707,28.1,103,0,32.57,0.537,59.87,1,17.49,6166.61,0
0,298.7,308.5,1467,40.7,106,0,31.01,0.482,41.83,2,14.947,4433.98,0
0,298.9,308.7,1433,44.7,108,0,31.16,1.0,46.72,0,31.16,5045.76,0
0,298.9,308.7,1558,41.2,110,0,24.36,0.577,52.57,1,14.056,5782.7,0
0,299.0,308.8,1310,50.7,112,0,33.61,0.755,72.42,2,25.376,8111.04,1
0,298.9,308.7,1546,43.4,114,0,22.39,0.409,62.85,0,9.158,7164.9,0
0,298.9,308.7,1727,29.4,116,0,30.35,0.608,65.77,1,18.453,7629.32,0
0,298.9,308.6,1560,32.2,118,0,36.76,0.631,69.17,2,23.196,8162.06,0
0,299.0,308.6,1329,60.5,120,0,24.04,0.721,90.0,0,17.333,10800.0,0
0,298.9,308.6,1413,46.5,122,0,25.73,0.242,55.42,1,6.227,6761.24,0
0,299.0,308.6,1587,38.6,124,0,28.4,0.675,69.2,2,19.17,8580.8,0
0,298.9,308.5,1559,34.3,126,0,25.99,0.478,65.13,0,12.423,8206.38,0
0,298.8,308.4,1473,41.1,128,0,21.8,0.699,64.96,1,15.238,8314.88,0
0,298.8,308.4,1737,27.7,130,0,28.27,0.495,72.74,2,13.994,9456.2,0
1,298.7,308.4,1441,43.2,132,0,23.75,0.522,50.81,0,12.398,6706.92,0
1,298.7,308.4,1430,49.6,135,0,29.89,0.609,50.01,1,18.203,6751.35,0
0,298.8,308.4,1369,53.0,138,0,24.32,0.492,58.2,2,11.965,8031.6,0
1,298.8,308.5,1711,28.5,140,0,34.2,0.579,53.17,0,19.802,7443.8,0
2,298.7,308.5,1420,45.7,143,0,24.87,0.471,58.19,1,11.714,8321.17,0
0,298.7,308.6,1297,55.3,148,0,26.71,0.375,70.63,2,10.016,10453.24,0
2,298.8,308.6,1449,49.4,150,0,31.25,0.803,50.22,0,25.094,7533.0,0
0,298.8,308.6,1268,55.8,155,0,23.08,0.456,51.95,1,10.524,8052.25,0
0,298.8,308.6,1511,36.1,157,0,28.91,0.623,56.74,2,18.011,8908.18,0
0,298.7,308.5,1544,35.2,159,0,33.23,0.763,52.72,0,25.354,8382.48,0
1,298.6,308.4,1778,28.2,161,0,21.57,0.558,35.86,1,12.036,5773.46,0
2,298.6,308.4,1407,50.5,164,0,28.74,0.526,49.2,2,15.117,8068.8,0
1,298.6,308.4,1391,42.4,169,0,29.04,0.684,61.87,0,19.863,10456.03,0
0,298.5,308.4,1513,33.6,172,0,31.13,0.818,69.38,1,25.464,11933.36,0
2,298.5,308.4,1612,36.1,174,0,23.05,0.475,43.45,2,10.949,7560.3,0
0,298.4,308.4,1515,40.1,179,0,22.72,0.627,43.41,0,14.245,7770.39,0
1,298.3,308.3,1379,48.0,181,0,30.09,0.39,55.3,1,11.735,10009.3,0
0,298.4,308.3,1473,39.9,184,0,29.19,0.591,34.24,2,17.251,6300.16,0
0,298.4,308.3,1422,42.7,186,0,29.0,0.655,50.55,0,18.995,9402.3,0
1,298.4,308.2,1463,37.6,188,0,29.39,0.522,37.64,1,15.342,7076.32,0
1,298.4,308.2,1584,41.0,191,0,25.28,0.581,68.69,2,14.688,13119.79,0
0,298.4,308.2,1850,27.0,194,0,28.93,0.439,47.31,0,12.7,9178.14,0
0,298.4,308.2,1528,36.2,196,0,29.17,0.662,71.53,1,19.311,14019.88,0
2,298.4,308.2,1987,19.8,198,0,25.14,0.808,66.14,2,20.313,13095.72,1
1,298.4,308.1,1495,46.0,203,0,35.46,0.485,48.54,0,17.198,9853.62,0
2,298.4,308.2,1478,43.5,206,0,29.9,0.557,44.28,1,16.654,9121.68,0
1,298.4,308.2,1499,40.0,211,0,23.23,0.725,53.06,2,16.842,11195.66,1
0,298.4,308.2,1471,47.0,214,0,30.63,0.832,53.95,0,25.484,11545.3,0
0,298.4,308.2,1282,60.7,216,1,24.1,0.426,58.46,1,10.267,12627.36,0
0,298.3,308.1,1412,52.3,218,1,31.15,0.625,47.23,2,19.469,10296.14,0
0,298.3,308.1,1586,35.5,0,0,32.63,0.692,62.46,0,22.58,0.0,0
1,298.4,308.2,1468,43.8,2,0,24.72,0.635,57.65,1,15.697,115.3,0
1,298.5,308.3,1440,43.6,5,0,31.85,0.278,51.6,2,8.854,258.0,0
0,298.5,308.4,1733,26.0,8,0,29.65,0.725,47.88,0,21.496,383.04,0
2,298.4,308.2,1612,32.6,10,0,31.29,0.878,53.15,1,27.473,531.5,0
2,298.4,308.3,1458,42.9,15,0,35.59,0.667,46.83,2,23.739,702.45,0
0,298.4,308.3,1433,62.3,20,1,27.02,0.495,55.58,0,13.375,1111.6,0
0,298.4,308.3,1318,59.1,22,0,24.99,0.573,55.85,1,14.319,1228.7,0
1,298.4,308.2,1610,35.0,24,0,24.44,0.915,57.62,2,22.363,1382.88,1
0,298.2,308.1,1462,50.8,27,0,24.74,0.786,72.66,0,19.446,1961.82,0
1,298.1,308.0,1924,20.8,29,0,27.69,0.746,53.68,1,20.657,1556.72,0
1,298.2,308.0,1591,33.7,32,0,29.36,0.703,65.05,2,20.64,2081.6,1
0,298.2,308.1,1306,58.3,35,0,29.11,0.551,57.3,0,16.04,2005.5,0
0,298.2,308.1,1382,43.5,37,0,31.31,0.62,52.62,1,19.412,1946.94,0
0,298.2,308.1,1618,34.7,39,0,28.05,0.638,53.81,2,17.896,2098.59,0
0,298.2,308.2,1988,21.4,41,0,33.81,0.732,54.41,0,24.749,2230.81,0
0,298.2,308.2,1436,50.2,43,0,26.94,0.876,57.8,1,23.599,2485.4,0
0,298.2,308.3,1304,49.8,45,0,38.88,0.818,45.41,2,31.804,2043.45,1
0,298.2,308.3,1475,49.9,47,0,30.5,0.437,40.35,0,13.328,1896.45,0
2,298.2,308.3,1824,24.2,49,0,24.57,0.684,61.54,1,16.806,3015.46,0
1,298.1,308.2,1342,48.1,54,0,23.72,0.761,63.98,2,18.051,3454.92,1
0,298.1,308.2,1485,40.7,57,0,29.93,0.743,62.46,0,22.238,3560.22,0
0,298.2,308.2,1667,30.6,59,0,27.11,0.556,56.55,1,15.073,3336.45,0
0,298.2,308.2,1446,38.2,61,0,30.86,1.0,62.67,2,30.86,3822.87,1
0,298.1,308.3,1301,56.0,63,0,29.89,0.458,62.13,0,13.69,3914.19,0
0,298.2,308.4,1379,43.1,65,0,27.71,0.488,62.88,1,13.522,4087.2,0
0,298.3,308.5,1606,33.6,67,0,24.61,0.685,46.4,2,16.858,3108.8,0
1,298.3,308.4,1539,43.4,69,0,21.94,0.968,44.03,0,21.238,3038.07,0
0,298.2,308.4,1477,49.9,72,0,26.21,0.525,51.11,1,13.76,3679.92,0
0,298.2,308.4,1666,34.6,74,0,31.43,0.61,54.83,2,19.172,4057.42,0
2,298.2,308.4,1398,51.8,76,0,28.86,0.812,52.58,0,23.434,3996.08,0
2,298.2,308.4,1678,34.6,81,0,23.02,0.647,36.23,1,14.894,2934.63,0
1,298.2,308.5,2678,10.7,86,1,28.69,0.6,72.22,2,17.214,6210.92,0
0,298.3,308.5,1453,42.9,89,0,29.54,0.735,52.26,0,21.712,4651.14,0
2,298.3,308.6,1432,49.5,91,0,24.46,0.691,56.73,1,16.902,5162.43,0
1,298.4,308.6,1527,40.9,96,0,28.61,0.805,67.45,2,23.031,6475.2,1
0,298.4,308.7,1588,35.0,99,0,28.23,0.844,31.55,0,23.826,3123.45,0
0,298.4,308.6,1433,47.1,101,0,23.43,0.696,49.88,1,16.307,5037.88,0
0,298.4,308.6,1609,35.0,103,0,29.43,0.694,51.13,2,20.424,5266.39,0
0,298.3,308.5,1575,41.2,105,0,30.24,0.682,51.64,0,20.624,5422.2,0
1,298.4,308.5,1636,35.7,107,0,32.33,0.723,53.27,1,23.375,5699.89,0
0,298.4,308.5,1490,37.9,110,0,32.22,0.658,69.47,2,21.201,7641.7,0
0,298.4,308.5,1741,32.8,112,0,22.49,0.65,61.73,0,14.618,6913.76,0
1,298.5,308.6,1344,53.0,114,0,24.25,0.829,64.58,1,20.103,7362.12,0
0,298.5,308.7,1609,35.3,117,0,30.06,0.877,55.47,2,26.363,6489.99,1
1,298.4,308.7,1421,60.7,119,1,30.06,0.424,41.01,0,12.745,4880.19,0
0,298.4,308.6,1591,36.7,122,0,30.06,0.652,34.2,1,19.599,4172.4,0
0,298.4,308.6,1477,44.0,124,0,43.41,0.547,39.71,2,23.745,4924.04,0
0,298.4,308.7,1523,36.1,126,0,30.28,0.603,58.6,0,18.259,7383.6,0
0,298.5,308.7,1575,33.9,128,0,32.54,0.71,55.32,1,23.103,7080.96,0
2,298.4,308.7,1344,52.9,130,0,31.82,0.75,52.9,2,23.865,6877.0,1
0,298.4,308.7,1386,44.9,135,0,30.61,0.633,51.31,0,19.376,6926.85,0
1,298.3,308.6,1589,37.1,137,0,26.74,0.363,75.12,1,9.707,10291.44,0
0,298.3,308.6,1548,40.3,140,0,31.04,0.505,46.77,2,15.675,6547.8,0
0,298.3,308.6,1499,38.3,142,0,24.91,0.784,64.28,0,19.529,9127.76,0
0,298.3,308.5,1664,31.6,144,0,27.05,0.239,55.02,1,6.465,7922.88,0
0,298.3,308.6,1447,38.1,146,0,26.06,0.828,54.39,2,21.578,7940.94,1
1,298.3,308.5,1434,46.2,148,0,28.33,0.728,66.77,0,20.624,9881.96,0
0,298.3,308.5,1416,52.7,151,0,37.26,0.847,69.63,1,31.559,10514.13,0
2,298.4,308.5,1827,24.3,153,0,20.53,0.62,52.6,2,12.729,8047.8,0
0,298.4,308.6,1304,45.0,158,0,30.75,0.341,62.99,0,10.486,9952.42,0
0,298.4,308.6,1569,34.4,160,0,21.55,0.715,58.64,1,15.408,9382.4,0
0,298.3,308.6,1584,29.3,162,0,26.11,0.841,55.07,2,21.959,8921.34,1
0,298.3,308.5,1362,53.8,164,0,32.36,0.789,57.04,0,25.532,9354.56,0
0,298.3,308.4,1329,49.2,166,0,28.26,0.551,48.12,1,15.571,7987.92,0
0,298.3,308.5,1539,36.1,168,0,23.69,0.663,51.94,2,15.706,8725.92,0
1,298.3,308.5,1629,37.1,170,0,25.14,0.57,49.19,0,14.33,8362.3,0
0,298.3,308.5,1538,32.2,173,0,30.72,0.527,64.01,1,16.189,11073.73,0
0,298.3,308.6,1570,34.8,175,0,25.08,0.793,54.05,2,19.888,9458.75,1
0,298.3,308.4,1408,43.1,177,0,28.87,0.47,42.02,0,13.569,7437.54,0
0,298.2,308.4,1424,47.6,179,0,28.18,0.516,47.77,1,14.541,8550.83,0
0,298.2,308.4,1512,34.9,181,0,25.39,0.484,23.01,2,12.289,4164.81,0
0,298.2,308.4,1478,42.9,183,0,36.58,0.426,50.06,0,15.583,9160.98,0
1,298.1,308.3,1680,33.7,185,0,30.54,0.672,55.38,1,20.523,10245.3,0
0,298.1,308.3,1495,38.7,188,0,19.9,0.824,53.64,2,16.398,10084.32,1
1,298.0,308.1,1552,36.6,190,0,28.75,0.622,74.8,0,17.882,14212.0,0
0,297.9,308.1,1393,50.3,193,0,25.35,0.424,60.75,1,10.748,11724.75,0
0,298.0,308.2,1611,30.6,195,0,31.41,0.776,60.3,2,24.374,11758.5,1
1,298.0,308.1,1339,51.6,197,0,24.83,0.903,38.57,0,22.421,7598.29,0
0,298.0,308.1,1777,24.3,200,0,27.54,0.553,51.35,1,15.23,10270.0,0
0,298.0,308.2,1348,58.8,202,1,30.02,0.578,50.13,2,17.352,10126.26,0
0,298.0,308.2,1442,44.1,204,0,31.46,0.727,47.14,0,22.871,9616.56,0
1,298.0,308.2,1395,49.1,206,0,23.2,0.893,47.0,1,20.718,9682.0,0
1,297.9,308.1,1627,31.4,209,0,26.66,0.572,36.92,2,15.25,7716.28,0
0,297.9,308.1,1585,33.5,212,0,26.1,0.45,42.24,0,11.745,8954.88,0
0,298.0,308.2,1469,45.5,214,0,25.39,0.745,63.74,1,18.916,13640.36,0
0,298.0,308.3,1362,56.8,216,1,35.06,0.77,53.57,2,26.996,11571.12,1
0,298.0,308.3,1405,56.2,218,1,29.62,0.651,49.94,0,19.283,10886.92,0
0,298.0,308.3,1662,32.7,0,0,22.96,0.566,54.95,1,12.995,0.0,0
1,298.0,308.2,1466,42.6,2,0,31.67,0.799,66.67,2,25.304,133.34,1
0,298.0,308.2,1620,35.8,5,0,36.49,0.729,55.04,0,26.601,275.2,0
0,298.0,308.2,1357,48.2,7,0,32.13,0.535,60.4,1,17.19,422.8,0
0,298.0,308.2,1514,37.9,9,0,21.92,0.657,46.53,2,14.401,418.77,0
0,298.0,308.2,1489,40.4,11,0,26.06,0.447,48.81,0,11.649,536.91,0
0,298.1,308.3,1331,63.0,13,0,33.07,0.753,58.54,1,24.902,761.02,0
0,298.0,308.0,1615,29.5,15,0,25.17,0.611,73.93,2,15.379,1108.95,0
0,298.1,308.2,1482,37.9,17,0,29.78,0.585,69.3,0,17.421,1178.1,0
1,298.1,308.2,1420,63.9,19,1,31.1,0.645,60.83,1,20.06,1155.77,0
1,298.2,308.3,1522,49.1,22,0,24.29,0.656,56.51,2,15.934,1243.22,0
0,298.1,308.2,1654,32.1,25,0,27.76,0.784,69.01,0,21.764,1725.25,0
1,298.1,308.2,1736,26.8,27,0,15.03,0.739,62.95,1,11.107,1699.65,0
1,298.0,308.1,1587,32.3,30,0,23.9,0.627,32.06,2,14.985,961.8,0
0,298.1,308.2,1390,47.5,33,0,26.99,0.765,44.46,0,20.647,1467.18,0
0,298.0,308.1,1454,37.1,35,0,23.01,0.71,58.38,1,16.337,2043.3,0
2,298.0,308.1,1440,43.7,37,0,34.53,0.586,37.13,2,20.235,1373.81,0
0,297.9,308.0,1954,21.1,42,0,22.28,0.631,46.02,0,14.059,1932.84,0
2,297.9,308.0,1800,24.8,44,0,26.24,0.628,48.0,1,16.479,2112.0,0
0,298.0,308.0,1524,37.0,49,0,28.52,0.726,52.44,2,20.706,2569.56,1
2,298.0,308.0,1520,39.6,51,0,33.77,0.595,52.13,0,20.093,2658.63,0
1,298.1,308.1,1452,40.8,56,0,22.26,0.591,52.11,1,13.156,2918.16,0
0,298.1,308.1,1484,40.4,59,0,32.65,0.945,63.25,2,30.854,3731.75,1
0,298.1,308.0,1426,46.0,61,0,28.04,0.791,52.35,0,22.18,3193.35,0
0,298.1,308.0,1652,28.5,63,0,24.07,0.536,51.15,1,12.902,3222.45,0
0,298.0,308.0,1401,54.7,65,0,29.85,0.736,41.51,2,21.97,2698.15,1
1,298.0,307.9,1750,26.6,67,0,28.8,0.668,65.24,0,19.238,4371.08,0
2,298.0,308.0,1479,50.7,70,0,25.6,0.709,48.29,1,18.15,3380.3,0
1,298.0,308.0,1620,29.4,75,0,28.28,0.671,44.13,2,18.976,3309.75,0
0,298.0,308.1,1819,23.4,78,0,26.46,0.828,57.13,0,21.909,4456.14,0
1,298.1,308.1,1456,43.7,80,0,28.45,0.702,47.33,1,19.972,3786.4,0
0,298.1,308.0,1626,36.5,83,0,30.65,0.641,49.74,2,19.647,4128.42,0
1,298.1,308.1,1390,49.8,85,0,34.34,0.806,57.58,0,27.678,4894.3,0
0,298.2,308.2,1469,43.0,88,0,23.05,0.685,51.74,1,15.789,4553.12,0
0,298.2,308.3,2051,19.2,90,0,36.53,0.668,78.12,2,24.402,7030.8,0
0,298.2,308.3,1568,36.0,92,0,20.19,0.697,54.25,0,14.072,4991.0,0
0,298.2,308.3,1589,33.2,94,0,27.39,0.636,61.18,1,17.42,5750.92,0
0,298.2,308.3,1805,31.6,96,0,30.35,0.651,35.58,2,19.758,3415.68,0
2,298.2,308.4,1385,42.2,98,0,29.12,0.562,46.39,0,16.365,4546.22,0
0,298.1,308.4,1436,46.7,103,0,25.51,0.537,44.13,1,13.699,4545.39,0
0,298.1,308.4,1438,45.6,105,0,27.17,0.5,45.46,2,13.585,4773.3,0
0,298.0,308.3,1473,42.6,107,0,26.03,0.441,59.16,0,11.479,6330.12,0
0,298.1,308.4,1335,40.2,109,0,25.64,0.518,65.36,1,13.282,7124.24,0
2,298.1,308.5,1392,44.8,111,0,31.4,0.624,58.45,2,19.594,6487.95,0
1,298.1,308.5,1372,51.1,116,0,29.43,0.665,52.73,0,19.571,6116.68,0
1,298.1,308.6,1716,30.7,119,0,25.23,0.609,48.69,1,15.365,5794.11,0
0,298.0,308.5,1395,46.2,122,0,31.6,0.297,66.14,2,9.385,8069.08,0
0,298.0,308.5,1713,25.3,124,0,29.23,0.886,75.71,0,25.898,9388.04,0
2,297.9,308.5,2129,18.7,126,0,31.25,0.813,56.35,1,25.406,7100.1,0
1,297.8,308.3,1567,35.6,131,0,30.52,0.717,64.39,2,21.883,8435.09,1
